wwc2=# select distinct interventionid, intervention_name from intervention_reports order by interventionid;
 interventionid |                                        intervention_name                                         
----------------+--------------------------------------------------------------------------------------------------
              1 | Cooperative Integrated Reading and Composition® (CIRC®)
              3 | Pause, Prompt, & Praise ©
              6 | Teach for America (TFA)
              7 | Peer-Assisted Learning Strategies
             16 | Destination Math
             17 | Saxon Math
             18 | Successmaker
             20 | Connected Mathematics Project (CMP)
             21 | Bilingual Cooperative Integrated Reading and Composition (BCIRC)
             32 | Tribes Learning Communities®
             35 | The Expert Mathematician
             36 | MathThematics
             38 | Partnership for Access to Higher Mathematics (PATH Mathematics)
             39 | Integrated Mathematics, Science, and Technology (IMaST)
             41 | Connecting Math Concepts (CMC) mathematics program
             44 | Heath Mathematics Connections (textbook series)
             46 | Holt Middle School Math (textbook)
             48 | Larson Developmental Math Series
             50 | Math Advantage (textbook series)
             52 | Mathematics Plus (textbook series published by Harcourt)
             53 | Math Applications and Connections (textbook series published by Glencoe)
             54 | MathScape: Seeing and Thinking Mathematically
             55 | Middle Grades Math (textbook series, published by ScottForesman/AddisonWesley)
             57 | Middle School Mathematics through Applications Program (MMAP)
             58 | eMINTS Comprehensive Program
             59 | Real Math basal mathematics program
             60 | Singapore Mathematics
             62 | Facilitating Long-term Improvements in Graduation and Higher Education for Tomorrow (FLIGHT)
             63 | A+ny where Learning System
             64 | Key Math Teach and Practice
             66 | Scott Foresman Math Diagnostic & Intervention System
             67 | Lightspan Achieve Now
             77 | Reading Together&trade;
             79 | Moving with Math® Math by Topic
             80 | Algebra Project
             81 | Algebraic Thinking
             85 | Mathematics in Context (MiC)
             86 | PLATO
             89 | Addison-Wesley Mathematics basal program
             90 | Adventures of Jasper Woodbury Series
             93 | Macmillan/McGraw-Hill
             95 | CORD Applied Math
             99 | ACT/SAT Test Preparation and Coaching Programs
            102 | Building Decision Skills
            103 | Caring School Community (CSC)
            104 | Changing Lives
            105 | Character Counts!
            117 | Heartwood Ethics Curriculum/An Ethics Curriculum for Children
            130 | Open Circle
            157 | Success through Accepting Responsibility (S.T.A.R.)
            184 | Building Esteem in Students Today (BEST)
            185 | Acquiring Ethical Guidelines for Individual Self Governance (AEGIS)
            186 | Facing History and Ourselves
            187 | Lessons in Character
            189 | Giraffe Heroes
            190 | Voices Literature and Character Education (Voices LACE)
            191 | Learning for Life
            192 | Lions Quest -- Skills for Growing
            193 | Project Wisdom
            194 | Pathways to Character
            196 | A Celebration of Character
            198 | Living Values Educational Program
            199 | Peace Education
            201 | Wisdom for Life
            202 | WiseSkills®
            203 | Love in a Big World
            204 | Connect with Kids
            205 | Character Building & Reading Mastery
            206 | Smart and Good
            207 | Everyday Mathematics®
            208 | Positive Action
            209 | Reading Recovery®
            210 | Accelerated Reader
            211 | DaisyQuest
            212 | Direct Instruction
            214 | Success for All®
            215 | Little Books
            216 | Ladders to Literacy
            217 | Project LISTEN's Reading Tutor
            219 | 100 Book Challenge
            220 | Carbo Reading Styles Program®
            224 | Breakthrough to Literacy
            227 | Unitedstreaming&trade;
            229 | Failure Free Reading
            230 | Lexia Reading
            231 | Literacy Collaborative
            232 | Open Court Reading©
            233 | Fluency Formula
            234 | New Century Integrated Instructional System
            235 | Project Read® Phonology
            236 | Literacy First
            237 | Head Start
            239 | Reading Upgrade
            240 | Headsprout Early Reading
            241 | Early Intervention in Reading (EIR)®
            245 | Instructional Conversations and Literature Logs
            246 | Metacognitive teaching approach
            247 | Peer Tutoring and Response Groups
            250 | Too Good For Violence (TGFV)
