Level,Individual Files Variable Names,Merged File Variable Names,Description,Type
Studies,Protocol,s_Protocol,Protocol used for review,text
Studies,Protocol_Version,s_Protocol_Version,Protocol version,int
Studies,Standards_Version,s_Standards_Version,WWC Standards Handbook version used for review,text
Studies,Citation,s_Citation,Study citation,text
Studies,Intervention_Name,s_Intervention_Name,Name of intervention,text
Studies,Study_Design,s_Study_Design,Study design,text
Studies,Study_Rating,s_Study_Rating,WWC study rating,text
Studies,Class_type_General,s_Class_type_General,General education classroom,boolean
Studies,Class_type_Inclusion,s_Class_type_Inclusion,Inclusion classroom,boolean
Studies,Delivery_Method_Individual,s_Delivery_Method_Individual,Individual delivery method,boolean
Studies,Delivery_Method_School,s_Delivery_Method_School,School-wide delivery method,boolean
Studies,Delivery_Method_Small_Group,s_Delivery_Method_Small_Group,Small group delivery method,boolean
Studies,Delivery_Method_Whole_Class,s_Delivery_Method_Whole_Class,Whole class delivery method,boolean
Studies,Demographics_of_Study_Sample_English_language_learners,s_Demographics_Sample_ELL,English Language Learners in study sample,percent
Studies,Demographics_of_Study_Sample_Free_or_reduced_price_lunch,s_Demographics_Sample_FRPL,Free or reduced price lunch in study sample,percent
Studies,Demographics_of_Study_Sample_International,s_Demographics_Sample_International,International study location,percent
Studies,Demographics_of_Study_Sample_Students_with_disabilities,s_Demographics_Sample_SWD,Students with disabilities in study sample,percent
Studies,Ethnicity_Hispanic,s_Ethnicity_Hispanic,Study sample Hispanic participants,boolean
Studies,Ethnicity_Not_Hispanic,s_Ethnicity_Not_Hispanic,Study sample Non-Hispanic participants,boolean
Studies,Gender_Female,s_Gender_Female,Study sample female participants,percent
Studies,Gender_Male,s_Gender_Male,Study sample male participants,percent
Studies,Grade_1,s_Grade_1,Study sample grade 1,boolean
Studies,Grade_10,s_Grade_10,Study sample grade 10,boolean
Studies,Grade_11,s_Grade_11,Study sample grade 11,boolean
Studies,Grade_12,s_Grade_12,Study sample grade 12,boolean
Studies,Grade_2,s_Grade_2,Study sample grade 2,boolean
Studies,Grade_3,s_Grade_3,Study sample grade 3,boolean
Studies,Grade_4,s_Grade_4,Study sample grade 4,boolean
Studies,Grade_5,s_Grade_5,Study sample grade 5,boolean
Studies,Grade_6,s_Grade_6,Study sample grade 6,boolean
Studies,Grade_7,s_Grade_7,Study sample grade 7,boolean
Studies,Grade_8,s_Grade_8,Study sample grade 8,boolean
Studies,Grade_9,s_Grade_9,Study sample grade 9,boolean
Studies,Grade_K,s_Grade_K,Study sample kindergarten,boolean
Studies,Grade_PK,s_Grade_PK,Study sample pre-kindergarten,boolean
Studies,Grade_PS,s_Grade_PS,Study sample postsecondary,boolean
Studies,Program_Type_Curriculum,s_Program_Type_Curriculum,Curriculum program type,boolean
Studies,Program_Type_Policy,s_Program_Type_Policy,Policy program type,boolean
Studies,Program_Type_Practice,s_Program_Type_Practice,Practice program type,boolean
Studies,Program_Type_School_level,s_Program_Type_School_level,School-level program type,boolean
Studies,Program_Type_Supplement,s_Program_Type_Supplement,Supplement program type,boolean
Studies,Program_Type_Teacher_level,s_Program_Type_Teacher_level,Teacher-level program type,boolean
Studies,Race_Asian,s_Race_Asian,Study sample Asian,percent
Studies,Race_Black,s_Race_Black,Study sample Black,percent
Studies,Race_Native_American,s_Race_Native_American,Study sample American Indian and Alaska Native,percent
Studies,Race_Other,s_Race_Other,Study sample Other,percent
Studies,Race_Pacific_Islander,s_Race_Pacific_Islander,Study sample Pacific Islander,percent
Studies,Race_White,s_Race_White,Study sample white,percent
Studies,Region_State_Alabama,s_Region_State_Alabama,Alabama,boolean
Studies,Region_State_Alaska,s_Region_State_Alaska,Alaska,boolean
Studies,Region_State_Arizona,s_Region_State_Arizona,Arizona,boolean
Studies,Region_State_Arkansas,s_Region_State_Arkansas,Arkansas,boolean
Studies,Region_State_California,s_Region_State_California,California,boolean
Studies,Region_State_Colorado,s_Region_State_Colorado,Colorado,boolean
Studies,Region_State_Connecticut,s_Region_State_Connecticut,Connecticut,boolean
Studies,Region_State_Delaware,s_Region_State_Delaware,Delaware,boolean
Studies,Region_State_District_of_Columbia,s_Region_State_DC,District of Columbia,boolean
Studies,Region_State_Florida,s_Region_State_Florida,Florida,boolean
Studies,Region_State_Georgia,s_Region_State_Georgia,Georgia,boolean
Studies,Region_State_Hawaii,s_Region_State_Hawaii,Hawaii,boolean
Studies,Region_State_Idaho,s_Region_State_Idaho,Idaho,boolean
Studies,Region_State_Illinois,s_Region_State_Illinois,Illinois,boolean
Studies,Region_State_Indiana,s_Region_State_Indiana,Indiana,boolean
Studies,Region_State_Iowa,s_Region_State_Iowa,Iowa,boolean
Studies,Region_State_Kansas,s_Region_State_Kansas,Kansas,boolean
Studies,Region_State_Kentucky,s_Region_State_Kentucky,Kentucky,boolean
Studies,Region_State_Louisiana,s_Region_State_Louisiana,Louisiana,boolean
Studies,Region_State_Maine,s_Region_State_Maine,Maine,boolean
Studies,Region_State_Maryland,s_Region_State_Maryland,Maryland,boolean
Studies,Region_State_Massachusetts,s_Region_State_Massachusetts,Massachusetts,boolean
Studies,Region_State_Michigan,s_Region_State_Michigan,Michigan,boolean
Studies,Region_State_Midwest,s_Region_State_Midwest,Midwest,boolean
Studies,Region_State_Minnesota,s_Region_State_Minnesota,Minnesota,boolean
Studies,Region_State_Mississippi,s_Region_State_Mississippi,Mississippi,boolean
Studies,Region_State_Missouri,s_Region_State_Missouri,Missouri,boolean
Studies,Region_State_Montana,s_Region_State_Montana,Montana,boolean
Studies,Region_State_Nebraska,s_Region_State_Nebraska,Nebraska,boolean
Studies,Region_State_Nevada,s_Region_State_Nevada,Nevada,boolean
Studies,Region_State_New_Hampshire,s_Region_State_New_Hampshire,New Hampshire,boolean
Studies,Region_State_New_Jersey,s_Region_State_New_Jersey,New Jersey,boolean
Studies,Region_State_New_Mexico,s_Region_State_New_Mexico,New Mexico,boolean
Studies,Region_State_New_York,s_Region_State_New_York,New York,boolean
Studies,Region_State_North_Carolina,s_Region_State_North_Carolina,North Carolina,boolean
Studies,Region_State_North_Dakota,s_Region_State_North_Dakota,North Dakota,boolean
Studies,Region_State_Northeast,s_Region_State_Northeast,Northeast,boolean
Studies,Region_State_Ohio,s_Region_State_Ohio,Ohio,boolean
Studies,Region_State_Oklahoma,s_Region_State_Oklahoma,Oklahoma,boolean
Studies,Region_State_Oregon,s_Region_State_Oregon,Oregon,boolean
Studies,Region_State_Pennsylvania,s_Region_State_Pennsylvania,Pennsylvania,boolean
Studies,Region_State_Rhode_Island,s_Region_State_Rhode_Island,Rhode Island,boolean
Studies,Region_State_South,s_Region_State_South,South,boolean
