InterventionID,Intervention_Name,Protocol,Protocol_Version,Outcome_Domain,NumStudiesMeetingStandards,NumStudiesEligible,Class_type_General,Class_type_Inclusion,Delivery_Method_Individual,Delivery_Method_School,Delivery_Method_Small_Group,Delivery_Method_Whole_Class,Demographics_of_Study_Sample_English_language_learners,Demographics_of_Study_Sample_Free_or_reduced_price_lunch,Demographics_of_Study_Sample_International,Demographics_of_Study_Sample_Students_with_disabilities,Ethnicity_Hispanic,Ethnicity_Not_Hispanic,Gender_Female,Gender_Male,Grade_1,Grade_10,Grade_11,Grade_12,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_K,Grade_PK,Grade_PS,Program_Type_Curriculum,Program_Type_Policy,Program_Type_Practice,Program_Type_School_level,Program_Type_Supplement,Program_Type_Teacher_level,Race_Asian,Race_Black,Race_Native_American,Race_Other,Race_Pacific_Islander,Race_White,Region_State_Alabama,Region_State_Alaska,Region_State_Arizona,Region_State_Arkansas,Region_State_California,Region_State_Colorado,Region_State_Connecticut,Region_State_Delaware,Region_State_District_of_Columbia,Region_State_Florida,Region_State_Georgia,Region_State_Hawaii,Region_State_Idaho,Region_State_Illinois,Region_State_Indiana,Region_State_Iowa,Region_State_Kansas,Region_State_Kentucky,Region_State_Louisiana,Region_State_Maine,Region_State_Maryland,Region_State_Massachusetts,Region_State_Michigan,Region_State_Midwest,Region_State_Minnesota,Region_State_Mississippi,Region_State_Missouri,Region_State_Montana,Region_State_Nebraska,Region_State_Nevada,Region_State_New_Hampshire,Region_State_New_Jersey,Region_State_New_Mexico,Region_State_New_York,Region_State_North_Carolina,Region_State_North_Dakota,Region_State_Northeast,Region_State_Ohio,Region_State_Oklahoma,Region_State_Oregon,Region_State_Pennsylvania,Region_State_Rhode_Island,Region_State_South,Region_State_South_Carolina,Region_State_South_Dakota,Region_State_Tennessee,Region_State_Texas,Region_State_Utah,Region_State_Vermont,Region_State_Virginia,Region_State_Washington,Region_State_West,Region_State_West_Virginia,Region_State_Wisconsin,Region_State_Wyoming,School_type_Charter,School_type_Parochial,School_type_Private,School_type_Public,Urbanicity_Rural,Urbanicity_Suburban,Urbanicity_Urban,Intervention_Page_URL,Sample_Size_Intervention,Effectiveness_Rating
211,DaisyQuest,Beginning Reading,1.0,Alphabetics,4,4,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,1.00,,,,,,,,,1.00,,/intervention/211,213,Positive Effects
215,Little Books,Beginning Reading,1.0,Reading achievement,1,1,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,/intervention/215,165,Potentially Positive Effects
216,Ladders to Literacy,Beginning Reading,1.0,Alphabetics,4,4,,,,,,1.00,3.00,,,,,,45.00,55.00,,,,,,,,,,,,,1.00,,,,,,,,,,41.65,,,,50.96,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,,1.00,1.00,,1.00,/intervention/216,760,Potentially Positive Effects
216,Ladders to Literacy,Beginning Reading,1.0,Comprehension,3,3,,,,,,1.00,3.00,,,,,,45.00,55.00,,,,,,,,,,,,,1.00,,,,,,,,,,41.65,,,,50.96,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,,1.00,1.00,,1.00,/intervention/216,489,Mixed Effects
216,Ladders to Literacy,Beginning Reading,1.0,Reading fluency,1,1,,,,,,1.00,3.00,,,,,,45.00,55.00,,,,,,,,,,,,,1.00,,,,,,,,,,41.65,,,,50.96,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,,1.00,1.00,,1.00,/intervention/216,66,Potentially Positive Effects
229,Failure Free Reading,Beginning Reading,1.0,Alphabetics,1,1,,,1.00,,,,,47.00,,,,,45.00,55.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.00,,,,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/229,93,No Discernible Effects
229,Failure Free Reading,Beginning Reading,1.0,Reading fluency,1,1,,,1.00,,,,,47.00,,,,,45.00,55.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.00,,,,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/229,93,No Discernible Effects
229,Failure Free Reading,Beginning Reading,1.0,Comprehension,1,1,,,1.00,,,,,47.00,,,,,45.00,55.00,,,,,,1.00,,,,,,,,,,,,,,,,,22.00,,,,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,/intervention/229,93,Potentially Positive Effects
230,Lexia Reading,Beginning Reading,1.0,Alphabetics,2,2,,,1.00,,1.00,,0.00,50.00,,,37.00,63.00,48.75,51.24,1.00,,,,,,,,,,,,1.00,,,,,,,,,25.00,6.00,,,,30.00,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,1.00,/intervention/230,97,Potentially Positive Effects
230,Lexia Reading,Beginning Reading,1.0,Comprehension,1,1,,,1.00,,1.00,,0.00,50.00,,,37.00,63.00,48.75,51.24,1.00,,,,,,,,,,,,1.00,,,,,,,,,25.00,6.00,,,,30.00,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,1.00,/intervention/230,71,Potentially Positive Effects
230,Lexia Reading,Beginning Reading,1.0,Reading achievement,1,1,,,1.00,,1.00,,0.00,50.00,,,37.00,63.00,48.75,51.24,1.00,,,,,,,,,,,,1.00,,,,,,,,,25.00,6.00,,,,30.00,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,1.00,/intervention/230,167,No Discernible Effects
230,Lexia Reading,Beginning Reading,1.0,Reading fluency,1,1,,,1.00,,1.00,,0.00,50.00,,,37.00,63.00,48.75,51.24,1.00,,,,,,,,,,,,1.00,,,,,,,,,25.00,6.00,,,,30.00,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,1.00,/intervention/230,25,No Discernible Effects
233,Fluency Formula,Beginning Reading,1.0,Reading fluency,1,1,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,/intervention/233,128,Potentially Positive Effects
233,Fluency Formula,Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,/intervention/233,128,Potentially Negative Effects
241,Early Intervention in Reading (EIR)®,Beginning Reading,1.0,Alphabetics,1,1,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,/intervention/241,56,Potentially Positive Effects
241,Early Intervention in Reading (EIR)®,Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,/intervention/241,57,Potentially Positive Effects
361,Voyager Universal Literacy System®,Beginning Reading,1.0,Alphabetics,2,2,,,,,1.00,1.00,,86.51,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,89.77,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,/intervention/361,611,Potentially Positive Effects
361,Voyager Universal Literacy System®,Beginning Reading,1.0,Comprehension,1,1,,,,,1.00,1.00,,86.51,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,89.77,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,1.00,/intervention/361,213,Potentially Negative Effects
370,"Read, Write & Type!",Beginning Reading,1.0,Alphabetics,1,1,,,,,,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/intervention/370,104,Potentially Positive Effects
370,"Read, Write & Type!",Beginning Reading,1.0,Comprehension,1,1,,,,,,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/intervention/370,104,No Discernible Effects
374,Start Making a Reader Today® (SMART®),Beginning Reading,1.0,Alphabetics,1,1,,,1.00,,,,,,,,6.00,94.00,52.00,48.00,1.00,,,,1.00,,,,,,,,,,,,,,,,,6.00,30.00,10.00,,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,1.00,,,,/intervention/374,84,Potentially Positive Effects
374,Start Making a Reader Today® (SMART®),Beginning Reading,1.0,Reading fluency,1,1,,,1.00,,,,,,,,6.00,94.00,52.00,48.00,1.00,,,,1.00,,,,,,,,,,,,,,,,,6.00,30.00,10.00,,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,1.00,,,,/intervention/374,84,Potentially Positive Effects
374,Start Making a Reader Today® (SMART®),Beginning Reading,1.0,Comprehension,1,1,,,1.00,,,,,,,,6.00,94.00,52.00,48.00,1.00,,,,1.00,,,,,,,,,,,,,,,,,6.00,30.00,10.00,,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,1.00,,,,/intervention/374,84,Potentially Positive Effects
